method,TP,FP,FN,precision,recall,F1,IDF1,false_new_tracks,false_new_tracks_per_100_frames,track_breaks,detector,threshold,false_new_per_100_frames,F1_delta_vs_bytetrack,false_new_delta_vs_bytetrack,notes,sequence_id
confidence_threshold_0.1,12242,8617,10855,0.5868929478882018,0.5300255444430012,0.557011557011557,0.557011557011557,1638,353.01724137931035,862,yolov8s,0.1,353.01724137931035,0.10302451956588843,-5200.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000086_00000_v
confidence_threshold_0.5,174,752,6217,0.1879049676025918,0.02722578626193084,0.04756047560475605,0.04756047560475605,70,38.04347826086957,34,yolov8s,0.5,38.04347826086957,-0.4064265618409125,-6768.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000305_00000_v
confidence_threshold_0.5,2439,56,9589,0.9775551102204408,0.20277685400731627,0.3358810163189424,0.3358810163189424,25,9.090909090909092,157,yolov8s,0.5,9.090909090909092,-0.11810602112672619,-6813.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000339_00001_v
confidence_threshold_0.6,4674,358,18423,0.9288553259141494,0.20236394336926875,0.332326069181272,0.332326069181272,41,8.836206896551724,387,yolov8s,0.6,8.836206896551724,-0.1216609682643966,-6797.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000086_00000_v
confidence_threshold_0.6,1616,54,15663,0.9676646706586827,0.09352393078303142,0.17056309040054887,0.17056309040054887,16,4.584527220630372,130,yolov8s,0.6,4.584527220630372,-0.28342394704511975,-6822.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000117_02622_v
confidence_threshold_0.6,3278,119,20810,0.9649690903738593,0.13608435735636001,0.2385301073312716,0.2385301073312716,23,9.871244635193133,220,yolov8s,0.6,9.871244635193133,-0.21545693011439698,-6815.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000137_00458_v
confidence_threshold_0.6,1083,64,16588,0.944202266782912,0.06128685416784562,0.11510256137740463,0.11510256137740463,31,8.539944903581267,129,yolov8s,0.6,8.539944903581267,-0.338884476068264,-6807.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000182_00000_v
confidence_threshold_0.6,1317,875,12261,0.6008211678832117,0.09699513919575785,0.16702599873176918,0.16702599873176918,31,3.1697341513292434,157,yolov8s,0.6,3.1697341513292434,-0.28696103871389944,-6807.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000268_05773_v
confidence_threshold_0.6,86,428,6305,0.16731517509727625,0.013456423094977311,0.024909485879797248,0.024909485879797248,40,21.73913043478261,19,yolov8s,0.6,21.73913043478261,-0.42907755156587135,-6798.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000305_00000_v
confidence_threshold_0.6,1986,21,10042,0.9895366218236173,0.16511473229132026,0.28300676879230496,0.28300676879230496,10,3.6363636363636362,175,yolov8s,0.6,3.6363636363636362,-0.17098026865336363,-6828.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000339_00001_v
confidence_threshold_0.7,2724,122,20373,0.9571328179901616,0.11793739446681387,0.20999884361870252,0.20999884361870252,19,4.094827586206897,292,yolov8s,0.7,4.094827586206897,-0.24398819382696607,-6819.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000086_00000_v
confidence_threshold_0.7,1113,24,16166,0.978891820580475,0.06441344985242202,0.12087315377932235,0.12087315377932235,6,1.7191977077363898,107,yolov8s,0.7,1.7191977077363898,-0.33311388366634626,-6832.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000117_02622_v
confidence_threshold_0.7,2381,73,21707,0.9702526487367563,0.09884589837263368,0.17941375932484366,0.17941375932484366,13,5.579399141630901,129,yolov8s,0.7,5.579399141630901,-0.27457327812082494,-6825.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000137_00458_v
